1;1;Melyik két fő komponens biztosítja az A és B végpontok összeköthetőségét egy kommunikációs hálózatban?;a pályaudvaron;linkek és hálózati csomópontok;routerek és switchek;antennák és műholdak;B;Hálózati szolgáltatások
2;2;Melyik módszer szükséges a végpontok közötti összeköthetőség biztosításához egy kommunikációs hálózatban?;titkosítási és dekódolási eljárások;megfelelő útvonalválasztó és -irányító módszerek;sávszélesség-korlátozó mechanizmusok;adatkompressziós algoritmusok;B;Hálózati szolgáltatások
3;2;Melyik NEM megoldás a forgalomtorlódásra egy kommunikációs hálózatban?;a forgalom elterelése;a forrás szabályozása;megelőző módszerek;a fizikai linkek megszüntetése;D;Hálózati szolgáltatások
4;3;Miért nem elegendő pusztán az összeköthetőség biztosítása egy kommunikációs hálózatban a sikeres adatcseréhez?;mert a hálózati eszközök mindig tökéletesen működnek;mert a csomagok eltérülhetnek, elveszhetnek vagy eldobásra kerülhetnek;mert az adatátvitel túl gyors lenne;mert az alkalmazásoknak nincs szükségük protokollokra;B;Hálózati szolgáltatások
5;3;Melyik alkalmazás NEM tartozik azon alapvető internetes alkalmazások közé, amelyekhez elegendő a megbízható kapcsolat és átbocsátóképesség?;webszerver elérés;fájlátvitel;élő videókonferencia;elektronikus levelezés;C;Hálózati szolgáltatások
6;1;Milyen típusú objektumokat tartalmazhat egy weblap az előadás szerint?;csak HTML fájlokat;HTML fájlokat, JPEG képeket, Java alkalmazásokat, hangfájlokat;csak szöveges dokumentumokat;Flash animációkat és PDF-eket;B;Hálózati szolgáltatások
7;2;Mi a szerepe az URL-nek a webes környezetben?;a HTTP protokoll verzióját azonosítja;minden webes objektumot címezhetővé tesz;a hálózati forgalom intenzitását méri;titkosítja az adatátvitelt;B;Hálózati szolgáltatások
8;1;Mit jelent a HTTP rövidítés az előadás alapján?;HyperText Transmission Protocol;High-level Transferring Program;HyperText Transfer Protocol;Home Terminal Transferring Protocol;C;Hálózati szolgáltatások
9;2;A HTTP kliens-szerver modellben mi a kliens fő feladata?;válaszként objektumokat küld a szervernek;kéréseket küld, válaszokat fogad és megjeleníti a webes objektumokat;tárolja az összes webes objektumot;routerként funkcionál a hálózatban;B;Hálózati szolgáltatások
10;4;Melyik RFC nem tartozik a HTTP protokoll verzióihoz az előadás szerint?;RFC 1945;RFC 2068;RFC 7540;RFC 3251;D;Hálózati szolgáltatások
11;1;Mi a FTP protokoll elsődleges funkciója?;webböngészés;fájlátvitel távoli hostra/hostról;elektronikus levelezés;élő streaming;B;Hálózati szolgáltatások
12;2;Az FTP kliens-szerver modellben ki az "átvitelt indító oldal" (akár felmásol, akár leszed adatot)?;a szerver;a távoli host;a kliens;a router;C;Hálózati szolgáltatások
13;2;Az elektronikus levelezésnek melyik NEM fő alkotóeleme az előadás szerint?;User Agent;Levélszerverek;Levelező protokoll (SMTP);Hálózati tűzfal;D;Hálózati szolgáltatások
14;2;Mi az SMTP protokoll feladata?;levelek lekérése a szerverről;e-mailek továbbítása a levelező szerverek között;a felhasználói postaláda tárolása;weboldalak megjelenítése;B;Hálózati szolgáltatások
15;3;Melyik protokoll NEM alkalmas levelek lekérésére a szerverről az előadás szerint?;POP;IMAP;SMTP;HTTP (pl. Gmail);C;Hálózati szolgáltatások
16;3;Mi az IMAP protokoll egyik kiemelt előnye a POP-hoz képest?;gyorsabb letöltést biztosít;egyszerre több kliens is hozzáférhet ugyanahhoz a postafiókhoz és észleli a módosításokat;csak bejövő levelek kezelésére szolgál;nem igényel azonosítást;B;Hálózati szolgáltatások
17;1;Milyen típusú P2P hálózat az eredeti Napster modell az előadás szerint?;teljesen elosztott;hierarchikus;centralizált;decentralizált, de központi trackerrel;C;Hálózati szolgáltatások
18;3;Mi a fő különbség az 1. és 2. generációs P2P hálózatok között?;az 1. generációban nincs központi szerver, a 2. generációban van;a 2. generáció teljesen elosztott, az 1. generáció hibrid, központi szerverrel;az 1. generáció robusztusabb, a 2. generáció kevésbé;a 2. generáció csak videó fájlok átvitelére alkalmas;B;Hálózati szolgáltatások
